name,net_worth,gender,age,birth_year,birth_month,birth_day,industry,self_made,country,gdp_country,cpi_change_country,gross_tertiary_education_enrollment,life_expectancy_country,total_tax_rate_country,population_country
Jiang Weiping & family,5500,M,68.0,1955.0,3.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Antonia Ax:son Johnson & family,9200,F,79.0,1943.0,9.0,6.0,Diversified,False,Sweden,"$530,832,908,738 ",1.8,67.0,82.5,49.1,10285453.0
Binod Chaudhary,1800,M,67.0,1955.0,4.0,14.0,Diversified,False,Nepal,"$30,641,380,604 ",5.6,12.4,70.5,41.8,28608710.0
Chad Richison,2200,M,52.0,1970.0,10.0,10.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Tom Ford,2200,M,61.0,1961.0,8.0,27.0,Fashion & Retail,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Don Vultaggio & family,7000,M,71.0,1952.0,2.0,26.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Haryanto Tjiptodihardjo,1000,M,59.0,1963.0,4.0,30.0,Manufacturing,False,Indonesia,"$1,119,190,780,753 ",3.0,36.3,71.5,30.1,270203917.0
Giammaria Giuliani,1600,M,45.0,1978.0,2.0,20.0,Healthcare,False,Switzerland,"$703,082,435,360 ",0.4,59.6,83.6,28.8,8574832.0
Anu Aga,2000,F,80.0,1942.0,8.0,1.0,Construction & Engineering,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
P.V. Krishna Reddy,2000,M,53.0,1969.0,6.0,30.0,Construction & Engineering,True,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Djoko Susanto,4200,M,73.0,1950.0,2.0,9.0,Fashion & Retail,True,Indonesia,"$1,119,190,780,753 ",3.0,36.3,71.5,30.1,270203917.0
Palmer Luckey,1700,M,30.0,1992.0,9.0,19.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Arvind Tiku,2500,M,53.0,1970.0,2.0,22.0,Energy,True,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Wang Yanqing & family,3700,M,56.0,1966.0,4.0,7.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Shari Arison,4200,F,65.0,1957.0,9.0,9.0,Service,False,Israel,"$395,098,666,122 ",0.8,63.4,82.8,25.3,9053300.0
Seo Jung-jin,5600,M,65.0,1957.0,10.0,23.0,Healthcare,True,South Korea,"$2,029,000,000,000 ",0.4,94.3,82.6,33.2,51709098.0
James Scapa,1300,M,66.0,1957.0,1.0,23.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Lynda Resnick,5300,F,80.0,1943.0,1.0,2.0,Food & Beverage,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Jayshree Ullal,2300,F,62.0,1961.0,3.0,27.0,Technology,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Liu Xiucai & family,1500,M,66.0,1957.0,3.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Xie Bingkun & family,2300,M,56.0,1966.0,8.0,25.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Alberto Cortina,1300,M,77.0,1946.0,1.0,20.0,Finance & Investments,True,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
Deniz Sahenk,1300,F,77.0,1945.0,8.0,6.0,Diversified,False,Turkey,"$754,411,708,203 ",15.2,23.9,77.4,42.3,83429615.0
Laurene Powell Jobs & family,12000,F,59.0,1963.0,11.0,6.0,Technology,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Cai Huabo,1600,M,47.0,1976.0,1.0,1.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Juan Roig,3600,M,73.0,1949.0,10.0,8.0,Fashion & Retail,False,Spain,"$1,394,116,310,769 ",0.7,88.9,83.3,47.0,47076781.0
George Joseph,1300,M,101.0,1921.0,9.0,11.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
